code,description
gabor,Abortion
nabst,Abstracts
cacqu,Acquisitions/Mergers
c181,Acquisitions/Mergers/Shareholdings
gadr,Adverse Drug Reactions
c32,Advertising
cadsp,Advertising Spending
nadvtr,Advertorials/Sponsored Content
nadc,Advice
nadv,Advisories
gaero,Aero/Air Sports
gaffm,Affirmative Action
gafho,Affordable/Social Housing
gaged,Age Discrimination
m141,Agricultural Commodity Markets
e1110,Agricultural Production Figures
ghiv,AIDS/HIV
naigc,AI-Generated Content
gairf,Air Force
gairp,Air Pollution
galcm,Alcoholism
namt,All Market Talk
gall,Allergies
galps,Alpine Skiing
galtm,Alternative Medicine/Treatments
malum,Aluminium Markets
galz,Alzheimer's Disease
gamer,American Football
nanl,Analyses
c1521,Analysts' Comments/Recommendations
gangl,Angling
ganmtk,Animal Attacks
gahea,Animal Health
gavflu,Animal Influenza
garig,Animal Rights
gainf,Animal/Insect Infestations
ganimf,Animated Films
canref,Annual Report Filings
c1511,Annual/Shareholder/Board Meetings
gantpy,Anthropology
c34,Anti-Competition Issues
gphob,Anxiety Disorders
gaqua,Aquatics/Water Sports
garlgy,Archaeology
garch,Archery
garchi,Architecture
gdef,Armed Forces
gcoup,Armed Rebellion
garmy,Army
garson,Arson
gart,Art
gartau,Art Collecting/Sales
gartt,Arthritis/Rheumatic Conditions
gaiml,Artificial Intelligence/Machine Learning
gent,Arts/Entertainment
gassa,Assault
gasset,Asset Allocation
cmabs,Asset Backed Securities
gastma,Asthma
gastro,Astronomy
gathl,Athletics
naudvl,Audio-visual Links
gozftl,Australian Rules Football
gauti,Autism Spectrum Disorders
gautim,Autoimmune Diseases
cautm,Automation
gaira,Aviation Accidents
gaward,Awards
gbadm,Badminton
eblpy,Balance of Payments/Current Account
ebklnd,Bank Loan Data
c16,Bankruptcy
cdip,Bankruptcy Financing
cbro,Bankruptcy Reorganization
cbrro,Bankruptcy-Related Rights Offering
gbase,Baseball
gbask,Basketball
mbean,Beans Markets
gbeau,Beauty
mcattl,Beef/Dairy Cattle Markets
gaddic,Behavioral Addictions/Obsessions
cbestp,Best Practice
gbill,Billiards/Snooker/Pool
gbiol,Biology
gbiot,Biotechnology
gblac,Blackouts
gblizz,Blizzards
nblog,Blogs
gleuk,Blood Cancer
gblood,Blood Donations/Transfusions
cboard,Board of Directors
gbolly,Bollywood/Indian Films
gbook,Books
gbowl,Bowls/Petanque
gboxi,Boxing
cbramb,Brand Ambassadorship
cbrand,Branding
gbreac,Breast Cancer
gbrib,Bribery
e1108,Budget Figures
gexplo,Building Fires/Explosions/Collapses
ebpmt,Building Permit Figures
mbnker,Bunker Fuel Markets
gtheft,Burglary/Theft
e1113,Business Inventory Figures
cbrec,Business Resilience/Continuity
cdinn,Business/Disruptive Innovation
e1117,Business/Economic Sentiment Data
cb2e,Business-to-Employee (B2E)
cbuyl,Buy Local Campaigns/Cash Mobs
gsell,Buying/Selling a Home
ncal,Calendar of Events
gcancr,Cancer
e1112,Capacity Utilization Figures
c24,Capacity/Facilities
ccapex,Capital Expenditure
ecgtax,Capital Gains Tax
e511,Capital Movements/Invisible Trade
ncap,Captions
e1123,Car Registration/Sales Figures
gcoseq,Carbon Sequestration
gcard,Cardiovascular Conditions
gcrpln,Career Planning/Management
gcar,Cars
gcele,Celebrities
gcens,Censorship
ecbdc,Central Bank Digital Currencies
e1201,Central Bank Intervention
gcha,Charities/Volunteering
gcfra,Check Fraud
gchem,Chemistry
gchemo,Chemotherapy/Radiotherapy/Immunotherapy
gchlab,Child Abuse
gchlbr,Child Labor
gchris,Christianity
nchr,Chronology
gcivds,Civil Unrest
cclass,Class Action Lawsuits
gclimt,Climate Change
gclimb,Climbing
mcoal,Coal Markets
gcoca,Cocaine Use/Abuse
mcocoa,Cocoa Markets
mcoff,Coffee Markets
gcoliv,Collectible Investments
gclfo,College Sports
ncolu,Columns
gcombt,Combat Sports
nedc,Commentaries/Opinions
ncmac,Commodities Asset Class News
m14,Commodity Markets
mcat,Commodity/Financial Market News
ccpint,Competitive Intelligence
e1125,Composite Economic Indicator Indices
gcgamb,Compulsive Gambling
gcsci,Computer Science
gconce,Concerts
c315,Conferences/Exhibitions
ecfig,Construction Figures/Output
gdeals,Consumer Deals
ecpin,Consumer Price Index
e1105,Consumer Sentiment Figures
e1106,Consumer Spending Figures
gspend,Consumer Spending/Budgeting
gcoart,Contemporary Art
ncat,Content Types
ncont,Contest/Lottery Announcements
gcntsu,Continuing Education
ccnttd,Contract Tenders
c33,Contracts/Orders
mcopp,Copper Markets
c134,Copyright
mcorn,Corn Markets
cactio,Corporate Actions
cintau,Corporate Audit/Internal Control
ccawrd,Corporate Awards
e1124,Corporate Bankruptcy Figures
c02,Corporate Changes
c174,Corporate Credit Ratings
c12,Corporate Crime/Legal Action
c172,Corporate Debt Instruments
mcpdbt,Corporate Debt/Bond Markets
ncdig,Corporate Digests
cdued,Corporate Due Diligence
cenvire,Corporate Environmental Responsibility
cwarr,Corporate Equity Derivatives
ccfd,Corporate Financial Difficulty
c17,Corporate Funding
ccpgvn,Corporate Governance
chedge,Corporate Hedging
ccname,Corporate Name Changes
ceffic,Corporate Organizational Restructuring
ccsr,Corporate Social Responsibility
ccspon,Corporate Sponsorship
c11,Corporate Strategy/Planning
ccptax,Corporate Taxation
ccat,Corporate/Industrial News
c312,Corporate/Industry Exports
c311,Corporate/Industry Imports
gcorrp,Corruption
mcott,Cotton Markets
gcount,Counterfeit/Forgery
ncopro,Country Profiles
gccfra,Credit Card Fraud
gcric,Cricket
gcrim,Crime/Legal Action
gorgnz,Criminal Enterprises
gccski,Cross-country Skiing
ccrow,Crowdfunding
mcroil,Crude Oil Markets
mcrntg,Crude Oil/Natural Gas Product Markets
gcrui,Cruises
mcryp,Cryptocurrency Markets
gcltre,Cultural Heritage
mcuop,Currency Options Markets
ccexpi,Customer Experience
ccrm,Customer Relationship Management
ccrly,Customer Retention/Loyalty
ghack,Cybercrime/Hacking
gcycl,Cycling
mdair,Dairy Markets
gdance,Dance Sport
gdabal,Dance/Ballet
gdart,Darts
cdatam,Data Mining
gsecbr,Data Security Breaches
cdataw,Data Warehousing
gdeath,Death Penalty/Capital Punishment
m12,Debt/Bond Markets
glibel,Defamation
c331,Defense Contracts
gforst,Deforestation
gdeme,Dementia
cspin,Demergers
ggroup,Demographic Health
gdemog,Demographics
gtooth,Dental Conditions
gdent,Dentistry
cdereg,Deregulation
m15,Derivatives Markets
gdev,Development/Humanitarian Aid
gdias,Diabetes
gdial,Dialysis
gdgdv,Digital Divide
gdpir,Digital Piracy
cdbus,Digitalization
e2111,Direct Taxation
gdisab,Disability Discrimination
gdis,Disasters/Accidents
gdcri,Discrimination
cfdst,Distressed Debt
cdagr,Distribution Agreements
cdiv,Divestments
c1512,Dividends
npfidn,DJ Dominant News - Fixed Income
npda,DJ Exclusive Analysis - All
npcda,DJ Exclusive Analysis - Commodities
npenda,DJ Exclusive Analysis - Energy
npqda,DJ Exclusive Analysis - Equities
npfida,DJ Exclusive Analysis - Fixed Income
npfxda,DJ Exclusive Analysis - FX
npdn,DJ Exclusive News - All
npcdn,DJ Exclusive News - Commodities
npendn,DJ Exclusive News - Energy
npqan,DJ Exclusive News - Equities
npfxdn,DJ Exclusive News - FX
gdoga,Dog Attacks
gpol,Domestic Politics
gdomv,Domestic Violence
gdop,Doping in Sports
ndjmt,Dow Jones Market Talk
gdroug,Drought
gdrug,Drug Trafficking/Dealing
gabus,Drug/Substance Use/Abuse
gecol,E. Coli Infections
ghear,Ear/Hearing Conditions
c151,Earnings
c152,Earnings Projections
c1514,Earnings Surprises
gethqk,Earthquakes
geat,Eating Disorders
e1101,Economic Growth/Recession
ecat,Economic News
e11,Economic Performance/Indicators
npred,Economic Predictions/Forecasts
eeczon,Economic Zones
medoil,Edible Oils Markets
nedi,Editorials
gedu,Education
gegov,e-Government
gelear,E-learning
gvote,Elections
melec,Electricity Markets
gelspo,Electronic Sports
gemblz,Embezzlement
cemdo,Eminent Domain
memiss,Emission Markets
cemis,Emissions
cempbn,Employee Benefits
cemret,Employee Retention
cemptd,Employee Training/Development
e1115,Employment Cost/Productivity Figures
e1116,Employment/Unemployment Figures
nenac,Energy Asset Class News
genee,Energy Efficiency
gengy,Energy Efficient Home Improvements
m143,Energy Markets
gengsc,Energy Security
centrp,Entrepreneurs/Startups
genvcr,Environmental Crime
gasbst,Environmental Health
gqual,Environmental Pollution
gnatcn,Environmental Protection
cesg,Environmental/Social/Governance
gepil,Episodic/Paroxysmal Disorders
geque,Equestrian Sports
neqac,Equities Asset Class News
m11,Equity Markets
cesgr,ESG Reports
gspy,Espionage
gestat,Estate Planning
gethic,Ethical Issues
gethm,Ethnic Minorities
ceurob,Eurobonds
e52,Eurozone Data/Policies
geuth,Euthanasia
cexecp,Executive Pay
gext,Extortion/Blackmail
gxspo,Extreme Sports
gexpol,Extremist Politics
gblind,Eye Conditions
cprdcl,Facility Closures
cprdop,Facility Openings
nfact,Factiva Filters
e1114,Factory/Manufactured Goods Orders
efairt,Fair Trade
gfake,Fake News Phenomenon
gfam,Family Finance
gbirtc,Family Planning
gfas,Fashion
gfasw,Fashion Shows/Events
ebeige,Federal Reserve Survey Data
gfesti,Festivals
ghock,Field Hockey
gfnpl,Financial Advisors
gfinc,Financial Crime
gsfra,Financial Markets Fraud
c15,Financial Performance
c173,Financing Agreements
gfire,Fire/Rescue Services
nfiac,Fixed Income Asset Class News
gfxiin,Fixed Income Investing
gflood,Floods/Tidal Waves
gfall,Food Allergies
gfod,Food/Drink
gfdsec,Food/Drinking Water Security
gfrcl,Forced Labor
cfore,Foreclosures
efodeb,Foreign Debt
efdi,Foreign Direct Investment
nfxmt,Foreign Exchange Market Talk
m132,Foreign Exchange Markets
mlumb,Forest Products Markets
nfxacb,Forex Asset Class Basic News
nfxacp,Forex Asset Class Premium News
gfost,Fostering/Adoption
c335,Franchises
gfraud,Fraud
mfruit,Fruit Markets
gfuel,Fuel Efficiency
m16,Fund Markets
croufi,Funding Rounds
gglspo,Gaelic Sports
gcagm,Games
ggangs,Gangs
glivc,Gastrointestinal Cancer
gwori,Gender Equality
gcell,Gene/Cell Therapy
gcoho,Generational Cohorts
ggenai,Generative AI
ghemo,Genetic Disorders
ggeo,Geography/Geology
gearth,Geological Disasters
gghea,Geriatric Health
gglobe,Global/World Issues
gglblz,Globalization
m1421,Gold Markets
ggolf,Golf
c341,Government Aid/Grants
e212,Government Borrowing
e211,Government Budget/Taxation
c332,Government Contracts/Orders
mgvdbt,Government Debt/Bond Markets
e21,Government Finance
cpripu,Government-Business Partnerships
mgrain,Grain Markets
mgroil,Grains/Edible Oils Markets
ggrey,Greyhound Racing
cmisco,Gross Misconduct/Malpractice
ggunc,Gun Control
ggymn,Gymnastics
ghand,Handball
ghara,Harassment
ghate,Hate Crime
nlist,Headline Listings
nhoc,Headline-Only Content
chqr,Headquarters Opening/Relocation
ghea,Health
ghplan,Health Planning
gmfra,Healthcare Fraud
nhrd,Heard on the Street
ghepat,Hepatitis
gheroi,Heroin/Illegal Opioid Use/Abuse
ghnwi,High Net Worth Individuals
gedpla,Higher Education Costs
cjunk,High-yield Corporate Bonds
ghijk,Hijacking/Piracy
ghist,History
ggard,Home Gardening/Landscaping
ghimp,Home Improvements
e1121,Home Sales/Housing Affordability Figures
ghomel,Homelessness
gmurd,Homicides
ghonl,Honours List/Decorations
ghorsc,Horoscopes
ghors,Horse Racing
ghouse,Housing Issues
emhpr,Housing Prices Figures
ehsal,Housing Sales Figures
e1120,Housing Starts
gswine,Human Influenza
gimm,Human Migration
ghum,Human Rights/Civil Liberties
