code,Descriptor,Description
i0,Agriculture,"All farming, forestry, commercial fishing, hunting and trapping."
i01001,Farming,"Agricultural crop production, seed supply and the raising of livestock."
i01002,Horticulture,"Growing horticultural crops such as fruit, vegetables and flowers."
i0100206,Fruit Growing,"Growing, cultivating and harvesting of fruit and tree nut crops."
ilsfarm,Livestock Farming,"Raising animals for the production of food, wool, hide, fur or for the purpose of selling. Includes poultry farming, bee farming and horse farming."
i0100105,Cattle Farming,Raising cattle for meat or dairy production.
i0100132,Oilseed/Grain Farming,Growing oilseed or grain crops. Producing oilseed or grain seeds. These crops have an annual life cycle and are typically grown in open fields.
isugar,Sugar Farming,"Growing, cultivating and harvesting of sugar beet and sugarcane crops."
iaut,Automotive,Manufacturing and repair/maintenance of motorized vehicles and vehicle parts.
icvtech,Connected Vehicle Technologies,"Connectivity technologies that allow bi-directional communication between the vehicle and other devices, networks or vehicles. Examples of these technologies include automotive telematics and connected cars."
i353,Motor Vehicle Parts,"Motor vehicle parts and accessories including windshields, interiors and wheels, chassis and panels."
i351,Motor Vehicles,Complete motorized highway vehicles. Includes All Terrain Vehicles.
i35104,Alternative Fuel Vehicles,"Motor vehicles powered by alternatives to gasoline and diesel. ""Green"" cars."
i35102,Commercial Vehicles,Vehicles intended for commercial use.
i35101,Passenger Cars,Automobiles. Includes passenger minivans and people carriers.
ibasicm,Basic Materials/Resources,"The discovery, development and processing of basic materials and resources. Includes mining and processing of metals and non-metals, chemicals and forestry products."
i25,Chemicals,Transformation of organic and inorganic raw materials by a chemical process and the formulation of products.
iagro,Agrochemicals,Chemicals used in horticulture or agriculture to improve crop production.
i2512,Basic Organic Chemicals,"Basic organic chemicals. Includes gum and wood chemicals, coal tar distillates and ethyl alcohol."
imet,Mining/Quarrying,Mining and quarrying activities.
i111,Coal Mining,"Mining bituminous coal, anthracite and lignite by underground mining, auger mining, strip mining, culm bank mining and other surface mining. Beneficiating (i.e. preparing) coal (e.g. cleaning, washing, screening and sizing coal). Also covers related support and exploration services."
i211,Metal Ore Mining,"Developing mine sites or mining metallic minerals, and establishments primarily engaged in ore dressing and beneficiating (i.e. preparing) operations, such as crushing, grinding, washing, drying, sintering, concentrating, calcining and leaching. Also covers related support and exploration services."
infmore,Non-ferrous Metal Ore Mining,"Developing the mine site, mining and beneficiating (i.e. preparing) non-ferrous metal ores."
i231,Non-metallic Mineral Mining/Quarrying,"Mining or quarrying non-metallic minerals (except fuels). Also included are certain well and brine operations, and preparation plants primarily engaged in beneficiating (e.g. crushing, grinding, washing and concentrating) nonmetallic minerals. Also covers related support and exploration services."
i2311,Stone Mining/Quarrying,"Mining or quarrying dimension stone (i.e. rough blocks and/or slabs of stone), or mining and quarrying crushed and broken stone and/or preparation plants primarily engaged in beneficiating stone (e.g. crushing, grinding, washing and sizing)."
ipper,Paper/Pulp,"Paper products, paper and pulp milling."
i22,Primary Metals,"Ferrous and non-ferrous metals refined from ore, pig or scrap, using electrometallurgical and other process metallurgical techniques. Also metal alloys and super alloys."
i221,Ferrous Metals,"Ferrous metals such as iron ore, pig iron, steel and ferroalloys."
